date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:11:56	2130/2130	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Feb%202022%2015:11:54%20GMT	https://codesty.org/robots.txt		(from )
18:11:56	319241/319241	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Feb%202022%2015:11:54%20GMT	https://codesty.org/	C:/Benim%20Web%20Sitem/ctalk/codesty.org/index.html	(from )
18:11:56	8270/8270	---MCZ	200	added ('OK')	text/css	etag:W/%222e46-17e86ca3eec%22	https://codesty.org/public/styles/sss.css	C:/Benim%20Web%20Sitem/ctalk/codesty.org/public/styles/sss.css	(from https://codesty.org/)
18:11:57	200482/200482	---MCZ	200	added ('OK')	text/css	etag:W/%223f5cd-17e86ca3eec%22	https://codesty.org/public/styles/bulma.css	C:/Benim%20Web%20Sitem/ctalk/codesty.org/public/styles/bulma.css	(from https://codesty.org/)
18:11:57	84245/84245	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/2.1.1/jquery.min.js	C:/Benim%20Web%20Sitem/ctalk/ajax.googleapis.com/ajax/libs/jquery/2.1.1/jquery.min.js	(from https://codesty.org/)
18:11:57	4006/4006	---MCZ	200	added ('OK')	application/javascript	etag:W/%2213b3-17e86ca3ee8%22	https://codesty.org/public/scripts/all.js	C:/Benim%20Web%20Sitem/ctalk/codesty.org/public/scripts/all.js	(from https://codesty.org/)
18:11:58	11025/11025	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2017%20Feb%202022%2015:11:56%20GMT	https://kit.fontawesome.com/eb7d57ccb9.js	C:/Benim%20Web%20Sitem/ctalk/kit.fontawesome.com/eb7d57ccb9.js	(from https://codesty.org/)
18:11:58	71750/71750	---M-Z	200	added ('OK')	text/css	etag:%225f5628a2-11846%22	https://cdnjs.cloudflare.com/ajax/libs/animate.css/4.1.1/animate.min.css	C:/Benim%20Web%20Sitem/ctalk/cdnjs.cloudflare.com/ajax/libs/animate.css/4.1.1/animate.min.css	(from https://codesty.org/)
18:11:58	12251/12251	---MCZ	200	added ('OK')	text/css	etag:W/%223b91-17e86ca3ee8%22	https://codesty.org/public/styles/all.css	C:/Benim%20Web%20Sitem/ctalk/codesty.org/public/styles/all.css	(from https://codesty.org/)
18:11:58	10848/10848	---M--	200	added ('OK')	image/png	etag:W/%222a60-17e86ca3ee0%22	https://codesty.org/public/images/logo-beyaz.png	C:/Benim%20Web%20Sitem/ctalk/codesty.org/public/images/logo-beyaz.png	(from https://codesty.org/)
